run_order,timestamp,priority,response_code,success,latency_ms
47,2026-09-09 10:01:32+00:00,legitimate,200,True,257.9
48,2026-09-09 10:01:34+00:00,legitimate,200,True,271.3
49,2026-09-09 10:01:36+00:00,legitimate,200,True,457.6
50,2026-09-09 10:01:38+00:00,legitimate,200,True,211.7
51,2026-09-09 10:01:40+00:00,legitimate,200,True,167.9
52,2026-09-09 10:01:42+00:00,legitimate,200,True,204.5
53,2026-09-09 10:01:44+00:00,attack,200,True,293.2
54,2026-09-09 10:01:46+00:00,legitimate,200,True,130.8
55,2026-09-09 10:01:48+00:00,attack,200,True,315.8
56,2026-09-09 10:01:50+00:00,attack,503,False,13.9
57,2026-09-09 10:01:52+00:00,legitimate,200,True,387.3
58,2026-09-09 10:01:54+00:00,legitimate,200,True,93.9
59,2026-09-09 10:01:56+00:00,legitimate,200,True,178.6
60,2026-09-09 10:01:58+00:00,legitimate,200,True,124.6
61,2026-09-09 10:02:00+00:00,legitimate,200,True,175.8
62,2026-09-09 10:02:02+00:00,legitimate,200,True,270.2
63,2026-09-09 10:02:04+00:00,legitimate,200,True,227.8
64,2026-09-09 10:02:06+00:00,attack,200,True,221.1
65,2026-09-09 10:02:08+00:00,legitimate,200,True,229.6
66,2026-09-09 10:02:10+00:00,legitimate,200,True,265.4
67,2026-09-09 10:02:12+00:00,legitimate,200,True,163.5
68,2026-09-09 10:02:14+00:00,legitimate,200,True,324.6
69,2026-09-09 10:02:16+00:00,legitimate,200,True,319.0
70,2026-09-09 10:02:18+00:00,legitimate,200,True,285.4
71,2026-09-09 10:02:20+00:00,legitimate,200,True,305.7
72,2026-09-09 10:02:22+00:00,legitimate,200,True,275.5
73,2026-09-09 10:02:24+00:00,attack,200,True,552.3
74,2026-09-09 10:02:26+00:00,legitimate,200,True,236.3
75,2026-09-09 10:02:28+00:00,legitimate,200,True,216.4
76,2026-09-09 10:02:30+00:00,legitimate,200,True,181.0
77,2026-09-09 10:02:32+00:00,legitimate,200,True,161.9
78,2026-09-09 10:02:34+00:00,legitimate,200,True,148.7
79,2026-09-09 10:02:36+00:00,legitimate,200,True,171.5
80,2026-09-09 10:02:38+00:00,attack,503,False,12.2
81,2026-09-09 10:02:40+00:00,legitimate,200,True,279.7
82,2026-09-09 10:02:42+00:00,legitimate,200,True,249.7
83,2026-09-09 10:02:44+00:00,attack,200,True,180.1
84,2026-09-09 10:02:46+00:00,legitimate,200,True,350.8
85,2026-09-09 10:02:48+00:00,legitimate,200,True,328.9
86,2026-09-09 10:02:50+00:00,legitimate,200,True,229.6
87,2026-09-09 10:02:52+00:00,attack,200,True,188.5
88,2026-09-09 10:02:54+00:00,legitimate,200,True,304.7
89,2026-09-09 10:02:56+00:00,legitimate,200,True,263.8
90,2026-09-09 10:02:58+00:00,legitimate,200,True,137.1
91,2026-09-09 10:03:00+00:00,legitimate,200,True,238.1
92,2026-09-09 10:03:02+00:00,legitimate,200,True,271.7
93,2026-09-09 10:03:04+00:00,legitimate,200,True,170.7
94,2026-09-09 10:03:06+00:00,legitimate,200,True,264.0
95,2026-09-09 10:03:08+00:00,legitimate,200,True,136.7
96,2026-09-09 10:03:10+00:00,legitimate,200,True,417.6
97,2026-09-09 10:03:12+00:00,legitimate,503,False,3.0
98,2026-09-09 10:03:14+00:00,legitimate,200,True,221.2
99,2026-09-09 10:03:16+00:00,legitimate,200,True,283.0
100,2026-09-09 10:03:18+00:00,attack,503,False,8.1
101,2026-09-09 10:03:20+00:00,attack,429,False,14.9
102,2026-09-09 10:03:22+00:00,legitimate,200,True,217.6
103,2026-09-09 10:03:24+00:00,legitimate,200,True,159.4
104,2026-09-09 10:03:26+00:00,attack,200,True,325.6
105,2026-09-09 10:03:28+00:00,attack,429,False,9.2
106,2026-09-09 10:03:30+00:00,attack,200,True,152.8
107,2026-09-09 10:03:32+00:00,legitimate,200,True,175.0
108,2026-09-09 10:03:34+00:00,legitimate,200,True,268.9
109,2026-09-09 10:03:36+00:00,legitimate,200,True,466.1
110,2026-09-09 10:03:38+00:00,attack,200,True,150.1
111,2026-09-09 10:03:40+00:00,legitimate,200,True,270.3
112,2026-09-09 10:03:42+00:00,legitimate,200,True,507.0
113,2026-09-09 10:03:44+00:00,legitimate,200,True,126.4
114,2026-09-09 10:03:46+00:00,legitimate,200,True,146.6
115,2026-09-09 10:03:48+00:00,legitimate,200,True,206.6
116,2026-09-09 10:03:50+00:00,attack,200,True,198.7
117,2026-09-09 10:03:52+00:00,attack,200,True,338.7
118,2026-09-09 10:03:54+00:00,attack,503,False,9.3
119,2026-09-09 10:03:56+00:00,legitimate,200,True,120.3
120,2026-09-09 10:03:58+00:00,legitimate,200,True,300.7
121,2026-09-09 10:04:00+00:00,legitimate,200,True,194.2
122,2026-09-09 10:04:02+00:00,legitimate,200,True,407.4
123,2026-09-09 10:04:04+00:00,legitimate,200,True,190.4
124,2026-09-09 10:04:06+00:00,legitimate,200,True,189.7
125,2026-09-09 10:04:08+00:00,legitimate,200,True,303.8
126,2026-09-09 10:04:10+00:00,legitimate,200,True,332.0
127,2026-09-09 10:04:12+00:00,legitimate,200,True,292.7
128,2026-09-09 10:04:14+00:00,legitimate,200,True,124.7
129,2026-09-09 10:04:16+00:00,legitimate,200,True,303.4
130,2026-09-09 10:04:18+00:00,legitimate,200,True,161.8
131,2026-09-09 10:04:20+00:00,legitimate,200,True,268.8
132,2026-09-09 10:04:22+00:00,attack,200,True,138.4
133,2026-09-09 10:04:24+00:00,legitimate,200,True,292.5
134,2026-09-09 10:04:26+00:00,legitimate,200,True,177.2
135,2026-09-09 10:04:28+00:00,legitimate,200,True,146.5
136,2026-09-09 10:04:30+00:00,legitimate,200,True,325.6
137,2026-09-09 10:04:32+00:00,attack,200,True,269.5
138,2026-09-09 10:04:34+00:00,legitimate,200,True,191.4
139,2026-09-09 10:04:36+00:00,attack,200,True,437.2
140,2026-09-09 10:04:38+00:00,legitimate,200,True,205.1
141,2026-09-09 10:04:40+00:00,legitimate,200,True,247.9
142,2026-09-09 10:04:42+00:00,legitimate,429,False,3.5
143,2026-09-09 10:04:44+00:00,attack,503,False,3.8
144,2026-09-09 10:04:46+00:00,legitimate,200,True,295.4
145,2026-09-09 10:04:48+00:00,legitimate,200,True,197.7
146,2026-09-09 10:04:50+00:00,legitimate,200,True,207.5
147,2026-09-09 10:04:52+00:00,legitimate,200,True,422.0
148,2026-09-09 10:04:54+00:00,legitimate,200,True,161.4
149,2026-09-09 10:04:56+00:00,legitimate,200,True,93.2
150,2026-09-09 10:04:58+00:00,legitimate,200,True,466.1
151,2026-09-09 10:05:00+00:00,attack,429,False,8.2
152,2026-09-09 10:05:02+00:00,attack,200,True,208.1
153,2026-09-09 10:05:04+00:00,legitimate,200,True,112.8
154,2026-09-09 10:05:06+00:00,legitimate,200,True,216.1
155,2026-09-09 10:05:08+00:00,legitimate,200,True,218.2
156,2026-09-09 10:05:10+00:00,legitimate,200,True,226.8
157,2026-09-09 10:05:12+00:00,legitimate,200,True,156.7
158,2026-09-09 10:05:14+00:00,legitimate,200,True,308.5
159,2026-09-09 10:05:16+00:00,attack,200,True,301.8
160,2026-09-09 10:05:18+00:00,attack,429,False,2.4
161,2026-09-09 10:05:20+00:00,legitimate,200,True,323.7
162,2026-09-09 10:05:22+00:00,attack,200,True,556.2
163,2026-09-09 10:05:24+00:00,legitimate,200,True,262.1
164,2026-09-09 10:05:26+00:00,legitimate,200,True,213.8
165,2026-09-09 10:05:28+00:00,legitimate,200,True,231.2
166,2026-09-09 10:05:30+00:00,legitimate,200,True,313.0
167,2026-09-09 10:05:32+00:00,attack,503,False,13.4
168,2026-09-09 10:05:34+00:00,attack,429,False,6.5
169,2026-09-09 10:05:36+00:00,legitimate,200,True,209.3
170,2026-09-09 10:05:38+00:00,attack,429,False,9.5
171,2026-09-09 10:05:40+00:00,legitimate,200,True,228.2
172,2026-09-09 10:05:42+00:00,legitimate,200,True,476.8
173,2026-09-09 10:05:44+00:00,legitimate,200,True,157.4
174,2026-09-09 10:05:46+00:00,attack,200,True,309.5
175,2026-09-09 10:05:48+00:00,legitimate,200,True,278.0
176,2026-09-09 10:05:50+00:00,legitimate,200,True,172.8
177,2026-09-09 10:05:52+00:00,legitimate,200,True,262.7
178,2026-09-09 10:05:54+00:00,attack,200,True,397.4
179,2026-09-09 10:05:56+00:00,attack,200,True,215.0
180,2026-09-09 10:05:58+00:00,attack,503,False,3.3
181,2026-09-09 10:06:00+00:00,attack,503,False,10.6
182,2026-09-09 10:06:02+00:00,attack,503,False,5.8
183,2026-09-09 10:06:04+00:00,legitimate,200,True,213.4
184,2026-09-09 10:06:06+00:00,legitimate,200,True,236.8
185,2026-09-09 10:06:08+00:00,attack,200,True,123.7
186,2026-09-09 10:06:10+00:00,legitimate,503,False,11.5
187,2026-09-09 10:06:12+00:00,legitimate,200,True,296.7
188,2026-09-09 10:06:14+00:00,legitimate,429,False,4.9
189,2026-09-09 10:06:16+00:00,attack,200,True,87.7
190,2026-09-09 10:06:18+00:00,legitimate,200,True,334.9
191,2026-09-09 10:06:20+00:00,attack,429,False,8.3
192,2026-09-09 10:06:22+00:00,legitimate,200,True,183.9
193,2026-09-09 10:06:24+00:00,legitimate,200,True,144.5
194,2026-09-09 10:06:26+00:00,attack,429,False,1.6
195,2026-09-09 10:06:28+00:00,legitimate,200,True,281.4
196,2026-09-09 10:06:30+00:00,legitimate,200,True,634.6
197,2026-09-09 10:06:32+00:00,legitimate,200,True,289.5
198,2026-09-09 10:06:34+00:00,attack,200,True,285.7
199,2026-09-09 10:06:36+00:00,legitimate,200,True,228.9
200,2026-09-09 10:06:38+00:00,legitimate,200,True,339.2
